order_id,eligibility,order_type
1,"['F18', 'F19', 'F20']",real
2,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
3,"['F18', 'F19', 'F20']",real
4,"['F18', 'F19', 'F20']",real
5,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
6,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
7,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
8,"['F17', 'F18', 'F19', 'F20']",real
9,"['F18', 'F19', 'F20']",real
10,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
11,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
12,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
13,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
14,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
15,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
16,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
17,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
18,"['F18', 'F19', 'F20']",real
19,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
20,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
21,"['F17', 'F18', 'F19', 'F20']",real
22,"['F17', 'F18', 'F19', 'F20']",real
23,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
24,"['F18', 'F19', 'F20']",real
25,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
26,"['F16', 'F17', 'F18', 'F19', 'F20']",real
27,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
28,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
29,"['F17', 'F18', 'F19', 'F20']",real
30,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
31,"['F17', 'F18', 'F19', 'F20']",real
32,"['F16', 'F17', 'F18', 'F19', 'F20']",real
33,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
34,"['F18', 'F19', 'F20']",real
35,"['F16', 'F17', 'F18', 'F19', 'F20']",real
36,"['F18', 'F19', 'F20']",real
37,"['F18', 'F19', 'F20']",real
38,"['F17', 'F18', 'F19', 'F20']",real
39,"['F18', 'F19', 'F20']",real
40,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
41,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
42,"['F17', 'F18', 'F19', 'F20']",real
43,"['F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
44,"['F18', 'F19', 'F20']",real
45,"['F17', 'F18', 'F19', 'F20']",real
46,"['F16', 'F17', 'F18', 'F19', 'F20']",real
47,"['F17', 'F18', 'F19', 'F20']",real
48,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
49,"['F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
50,"['F18', 'F19', 'F20']",real
51,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
52,"['F16', 'F17', 'F18', 'F19', 'F20']",real
