order_id,eligibility,order_type
1,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
2,"['F17', 'F18', 'F19', 'F20']",real
3,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
4,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
5,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
6,"['F17', 'F18', 'F19', 'F20']",real
7,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
8,"['F16', 'F17', 'F18', 'F19', 'F20']",real
9,"['F17', 'F18', 'F19', 'F20']",real
10,"['F17', 'F18', 'F19', 'F20']",real
11,"['F18', 'F19', 'F20']",real
12,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
13,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
14,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
15,"['F18', 'F19', 'F20']",real
16,"['F16', 'F17', 'F18', 'F19', 'F20']",real
17,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
18,"['F17', 'F18', 'F19', 'F20']",real
19,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
20,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
21,"['F17', 'F18', 'F19', 'F20']",real
22,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
23,"['F18', 'F19', 'F20']",real
24,"['F17', 'F18', 'F19', 'F20']",real
25,"['F18', 'F19', 'F20']",real
26,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
27,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
28,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
29,"['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
30,"['F17', 'F18', 'F19', 'F20']",real
31,"['F18', 'F19', 'F20']",real
32,"['F18', 'F19', 'F20']",real
33,"['F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
34,"['F16', 'F17', 'F18', 'F19', 'F20']",real
35,"['F16', 'F17', 'F18', 'F19', 'F20']",real
36,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
37,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
38,"['F17', 'F18', 'F19', 'F20']",real
39,"['F18', 'F19', 'F20']",real
40,"['F17', 'F18', 'F19', 'F20']",real
41,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
42,"['F18', 'F19', 'F20']",real
43,"['F17', 'F18', 'F19', 'F20']",real
44,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
45,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
46,"['F18', 'F19', 'F20']",real
47,"['F17', 'F18', 'F19', 'F20']",real
48,"['F18', 'F19', 'F20']",real
49,"['F18', 'F19', 'F20']",real
50,"['F18', 'F19', 'F20']",real
51,"['F16', 'F17', 'F18', 'F19', 'F20']",real
52,"['F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
53,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
54,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
55,"['F17', 'F18', 'F19', 'F20']",real
56,"['F16', 'F17', 'F18', 'F19', 'F20']",real
57,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
58,"['F17', 'F18', 'F19', 'F20']",real
59,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
60,"['F18', 'F19', 'F20']",real
61,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
62,"['F17', 'F18', 'F19', 'F20']",real
63,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
64,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
65,"['F18', 'F19', 'F20']",real
66,"['F16', 'F17', 'F18', 'F19', 'F20']",real
67,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
68,"['F18', 'F19', 'F20']",real
69,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
70,"['F16', 'F17', 'F18', 'F19', 'F20']",real
71,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
72,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
73,"['F18', 'F19', 'F20']",real
74,"['F18', 'F19', 'F20']",real
75,"['F17', 'F18', 'F19', 'F20']",real
76,"['F17', 'F18', 'F19', 'F20']",real
77,"['F18', 'F19', 'F20']",real
78,"['F18', 'F19', 'F20']",real
79,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
80,"['F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
81,"['F17', 'F18', 'F19', 'F20']",real
82,"['F17', 'F18', 'F19', 'F20']",real
83,"['F17', 'F18', 'F19', 'F20']",real
84,"['F17', 'F18', 'F19', 'F20']",real
85,"['F17', 'F18', 'F19', 'F20']",real
86,"['F16', 'F17', 'F18', 'F19', 'F20']",real
87,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
