order_id,eligibility,order_type
1,"['F17', 'F18', 'F19', 'F20']",real
2,"['F17', 'F18', 'F19', 'F20']",real
3,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
4,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
5,"['F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
6,"['F17', 'F18', 'F19', 'F20']",real
7,"['F18', 'F19', 'F20']",real
8,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
9,"['F17', 'F18', 'F19', 'F20']",real
10,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
11,"['F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
12,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
13,"['F18', 'F19', 'F20']",real
14,"['F18', 'F19', 'F20']",real
15,"['F17', 'F18', 'F19', 'F20']",real
16,"['F17', 'F18', 'F19', 'F20']",real
17,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
18,"['F18', 'F19', 'F20']",real
19,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
20,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
21,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
22,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
23,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
24,"['F17', 'F18', 'F19', 'F20']",real
25,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
26,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
27,"['F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
28,"['F18', 'F19', 'F20']",real
29,"['F17', 'F18', 'F19', 'F20']",real
30,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
31,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
32,"['F16', 'F17', 'F18', 'F19', 'F20']",real
33,"['F18', 'F19', 'F20']",real
34,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
35,"['F18', 'F19', 'F20']",real
36,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
37,"['F18', 'F19', 'F20']",real
38,"['F17', 'F18', 'F19', 'F20']",real
39,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
40,"['F17', 'F18', 'F19', 'F20']",real
41,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
