order_id,item_id,order_type
1,440,real
2,950,real
2,510,real
2,830,real
3,160,real
3,150,real
3,320,real
4,330,real
4,430,real
4,370,real
4,800,real
5,690,real
5,480,real
6,460,real
6,830,real
6,330,real
6,990,real
7,340,real
7,710,real
8,850,real
8,610,real
8,280,real
9,130,real
9,1010,real
9,140,real
9,700,real
10,430,real
10,970,real
11,1020,real
11,400,real
12,770,real
12,350,real
12,220,real
12,330,real
13,560,real
14,470,real
15,1060,real
15,680,real
15,870,real
15,510,real
16,100,real
16,890,real
16,520,real
16,400,real
16,570,real
17,530,real
18,270,real
18,920,real
18,360,real
18,200,real
18,790,real
19,420,real
19,110,real
20,360,real
20,780,real
20,570,real
20,320,real
21,260,real
21,490,real
21,940,real
21,560,real
22,330,real
22,670,real
23,520,real
23,920,real
23,980,real
23,390,real
23,1020,real
24,350,real
24,290,real
24,1010,real
24,670,real
24,100,real
25,740,real
25,230,real
25,1020,real
25,550,real
26,400,real
26,690,real
26,380,real
26,420,real
26,160,real
27,750,real
27,370,real
27,810,real
28,120,real
28,590,real
29,150,real
30,960,real
30,590,real
30,530,real
30,670,real
30,460,real
31,900,real
31,910,real
31,710,real
31,120,real
31,1030,real
32,490,real
32,1080,real
32,990,real
33,170,real
34,330,real
34,400,real
34,550,real
34,910,real
35,230,real
35,220,real
35,440,real
35,870,real
35,460,real
36,310,real
37,710,real
37,280,real
37,660,real
37,820,real
38,550,real
38,300,real
38,130,real
38,980,real
39,1040,real
39,990,real
39,740,real
39,900,real
39,460,real
40,980,real
41,600,real
42,710,real
42,1090,real
43,940,real
43,580,real
43,820,real
44,310,real
44,270,real
45,230,real
46,1050,real
46,250,real
46,800,real
46,400,real
46,120,real
47,250,real
47,420,real
47,850,real
47,980,real
48,570,real
48,830,real
48,490,real
48,920,real
48,1030,real
49,130,real
49,1050,real
50,730,real
50,240,real
50,1030,real
50,160,real
50,990,real
51,910,real
52,420,real
52,500,real
52,240,real
53,670,real
54,690,real
54,530,real
55,710,real
55,200,real
55,920,real
56,720,real
56,880,real
56,660,real
56,520,real
57,200,real
57,770,real
58,970,real
58,330,real
58,430,real
58,810,real
59,390,real
60,980,real
60,450,real
60,1080,real
61,600,real
62,1010,real
62,760,real
62,610,real
63,580,real
63,610,real
64,460,real
65,120,real
65,700,real
65,1020,real
65,590,real
65,360,real
66,260,real
66,880,real
67,810,real
67,410,real
68,120,real
68,540,real
68,100,real
68,1020,real
68,490,real
69,200,real
69,300,real
69,310,real
70,310,real
70,900,real
70,190,real
70,410,real
70,610,real
71,230,real
71,450,real
72,370,real
73,640,real
73,780,real
73,1070,real
73,940,real
73,460,real
74,450,real
74,500,real
74,1040,real
74,190,real
75,700,real
75,590,real
75,120,real
75,260,real
75,930,real
76,140,real
76,920,real
76,190,real
77,1030,real
77,930,real
77,890,real
78,600,real
78,690,real
78,550,real
78,1060,real
79,520,real
79,380,real
80,180,real
80,320,real
81,700,real
81,210,real
81,150,real
81,980,real
81,810,real
82,890,real
82,600,real
82,940,real
83,100,real
83,980,real
83,700,real
84,620,real
84,370,real
84,1000,real
85,900,real
85,960,real
86,770,real
86,860,real
86,430,real
86,650,real
87,210,real
88,110,real
89,150,real
89,300,real
89,650,real
90,310,real
91,660,real
91,620,real
91,860,real
92,740,real
92,500,real
92,100,real
92,570,real
92,820,real
93,260,real
94,470,real
94,770,real
94,350,real
94,630,real
95,400,real
96,940,real
96,770,real
96,450,real
96,350,real
97,430,real
97,800,real
97,100,real
98,750,real
99,680,real
99,770,real
99,330,real
99,760,real
99,750,real
100,220,real
101,190,real
101,930,real
101,310,real
102,750,real
102,160,real
102,560,real
102,690,real
102,510,real
103,420,real
103,120,real
103,130,real
104,550,real
105,600,real
105,750,real
105,840,real
105,1040,real
105,390,real
106,970,real
107,790,real
107,560,real
107,900,real
107,940,real
108,550,real
108,960,real
108,670,real
108,290,real
108,320,real
109,790,real
109,130,real
109,600,real
109,920,real
109,460,real
110,990,real
110,640,real
110,430,real
110,1020,real
111,980,real
112,340,real
112,580,real
113,660,real
114,140,real
115,620,real
115,400,real
115,250,real
115,580,real
115,1020,real
116,560,real
116,750,real
116,1000,real
117,230,real
117,890,real
118,790,real
118,470,real
119,450,real
119,490,real
119,180,real
119,910,real
120,910,real
120,660,real
120,790,real
120,540,real
121,630,real
121,740,real
121,120,real
121,550,real
121,1010,real
122,220,real
122,410,real
122,980,real
122,390,real
122,570,real
123,890,real
123,790,real
124,1060,real
125,950,real
125,430,real
125,280,real
125,300,real
125,830,real
126,230,real
126,850,real
126,830,real
126,500,real
127,100,real
128,540,real
128,350,real
128,500,real
129,460,real
129,870,real
130,890,real
131,610,real
131,1000,real
131,350,real
131,730,real
132,180,real
132,460,real
133,220,real
133,720,real
133,740,real
134,580,real
134,100,real
134,360,real
134,200,real
135,420,real
135,960,real
135,390,real
136,1000,real
136,600,real
136,930,real
136,550,real
137,150,real
137,770,real
137,660,real
137,100,real
137,180,real
138,860,real
138,710,real
138,640,real
138,370,real
139,750,real
139,320,real
140,320,real
141,970,real
142,500,real
142,570,real
143,1040,real
144,500,real
144,490,real
145,480,real
146,980,real
146,870,real
146,320,real
147,1050,real
147,840,real
147,770,real
147,620,real
148,680,real
148,820,real
148,970,real
148,110,real
148,340,real
149,670,real
149,100,real
149,650,real
149,440,real
150,410,real
150,600,real
150,210,real
150,350,real
150,310,real
151,390,real
151,200,real
151,720,real
151,780,real
151,1010,real
152,990,real
153,790,real
154,950,real
154,180,real
154,990,real
154,220,real
155,720,real
155,510,real
156,1020,real
156,560,real
156,700,real
156,340,real
157,130,real
158,560,real
158,750,real
158,1080,real
158,1000,real
158,650,real
159,270,real
159,1060,real
159,530,real
159,700,real
160,610,real
160,1040,real
161,1080,real
161,300,real
162,1040,real
162,390,real
163,770,real
163,400,real
164,590,real
164,470,real
165,450,real
165,200,real
166,330,real
167,220,real
167,160,real
167,200,real
167,470,real
167,880,real
168,800,real
169,420,real
169,330,real
169,270,real
170,830,real
170,1030,real
170,1080,real
171,150,real
171,310,real
171,1050,real
172,300,real
172,130,real
172,830,real
173,840,real
173,470,real
173,540,real
173,560,real
174,260,real
174,630,real
174,840,real
174,720,real
175,350,real
176,230,real
177,380,real
177,730,real
178,580,real
179,680,real
179,800,real
180,170,real
180,440,real
180,1080,real
180,490,real
181,130,real
181,780,real
182,170,real
183,800,real
183,910,real
183,1080,real
183,780,real
183,830,real
184,950,real
184,800,real
184,670,real
184,100,real
184,280,real
185,420,real
185,790,real
186,420,real
186,570,real
186,170,real
187,940,real
187,380,real
187,300,real
187,1090,real
187,140,real
188,930,real
189,140,real
189,400,real
189,200,real
189,180,real
190,470,real
190,290,real
190,490,real
190,890,real
190,540,real
191,210,real
191,190,real
191,870,real
191,720,real
191,810,real
192,770,real
192,380,real
192,250,real
192,540,real
193,720,real
193,890,real
193,190,real
194,620,real
194,780,real
195,560,real
196,140,real
196,580,real
197,810,real
197,1000,real
197,950,real
197,340,real
197,710,real
198,1010,real
198,1000,real
198,1060,real
198,550,real
199,330,real
200,980,real
201,380,real
202,640,real
202,830,real
202,110,real
203,670,real
203,920,real
203,620,real
203,790,real
203,450,real
204,990,real
204,670,real
204,860,real
204,570,real
205,1070,real
205,790,real
